product_id,product_name,product_type,year,week,banner,price_,week_year,mdlz_product
183,sopps snarkokt makaroni,650gr,2019,1,SPAR,19.9,2019_1,False
183,sopps snarkokt makaroni,650gr,2019,1,EXTRA,18.4,2019_1,False
53,idun ketchup,530 gr,2019,1,KIWI,12.9,2019_1,False
53,idun ketchup,530 gr,2019,1,MENY,13.9,2019_1,False
53,idun ketchup,530 gr,2019,1,OBS,13.9,2019_1,False
53,idun ketchup,530 gr,2019,1,REMA,12.9,2019_1,False
53,idun ketchup,530 gr,2019,1,SPAR,13.9,2019_1,False
53,idun ketchup,530 gr,2019,1,EXTRA,13.9,2019_1,False
59,nescafé gull refill,100 gr,2019,1,KIWI,54.5,2019_1,False
59,nescafé gull refill,100 gr,2019,1,MENY,59.9,2019_1,False
59,nescafé gull refill,100 gr,2019,1,OBS,47.9,2019_1,False
59,nescafé gull refill,100 gr,2019,1,REMA,54.5,2019_1,False
59,nescafé gull refill,100 gr,2019,1,SPAR,58.9,2019_1,False
59,nescafé gull refill,100 gr,2019,1,EXTRA,54.5,2019_1,False
99,oboy,450 gr pose,2019,1,KIWI,19.9,2019_1,False
99,oboy,450 gr pose,2019,1,MENY,21.9,2019_1,False
99,oboy,450 gr pose,2019,1,OBS,14.7,2019_1,False
99,oboy,450 gr pose,2019,1,REMA,13.7,2019_1,False
99,oboy,450 gr pose,2019,1,SPAR,21.9,2019_1,False
99,oboy,450 gr pose,2019,1,EXTRA,13.7,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,KIWI,26.5,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,MENY,28.9,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,OBS,26.5,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,REMA,27.9,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,SPAR,28.9,2019_1,False
87,"kelloggs corn flakes, family",500 gr,2019,1,EXTRA,26.5,2019_1,False
390,jif baderom spray,500 ml,2019,1,KIWI,32.2,2019_1,False
390,jif baderom spray,500 ml,2019,1,MENY,34.5,2019_1,False
390,jif baderom spray,500 ml,2019,1,OBS,32.8,2019_1,False
390,jif baderom spray,500 ml,2019,1,REMA,34.9,2019_1,False
390,jif baderom spray,500 ml,2019,1,SPAR,34.9,2019_1,False
390,jif baderom spray,500 ml,2019,1,EXTRA,32.2,2019_1,False
68,smågodt,1 hg,2019,1,KIWI,16.8,2019_1,False
68,smågodt,1 hg,2019,1,MENY,17.9,2019_1,False
68,smågodt,1 hg,2019,1,OBS,13.4,2019_1,False
68,smågodt,1 hg,2019,1,REMA,16.8,2019_1,False
68,smågodt,1 hg,2019,1,SPAR,18.5,2019_1,False
68,smågodt,1 hg,2019,1,EXTRA,13.4,2019_1,False
191,peanøttkubbe,60gr,2019,1,KIWI,17.5,2019_1,False
191,peanøttkubbe,60gr,2019,1,MENY,18.9,2019_1,False
191,peanøttkubbe,60gr,2019,1,OBS,17.7,2019_1,False
191,peanøttkubbe,60gr,2019,1,REMA,16.5,2019_1,False
191,peanøttkubbe,60gr,2019,1,SPAR,17.9,2019_1,False
191,peanøttkubbe,60gr,2019,1,EXTRA,17.5,2019_1,False
192,toppris,60gr,2019,1,KIWI,15.5,2019_1,False
192,toppris,60gr,2019,1,MENY,17.2,2019_1,False
192,toppris,60gr,2019,1,OBS,16.8,2019_1,False
192,toppris,60gr,2019,1,REMA,14.9,2019_1,False
192,toppris,60gr,2019,1,SPAR,15.9,2019_1,False
192,toppris,60gr,2019,1,EXTRA,15.5,2019_1,False
6,agurk,1 stk,2019,2,KIWI,15.9,2019_2,False
6,agurk,1 stk,2019,2,MENY,19.9,2019_2,False
6,agurk,1 stk,2019,2,OBS,20.5,2019_2,False
6,agurk,1 stk,2019,2,REMA,15.9,2019_2,False
6,agurk,1 stk,2019,2,SPAR,19.9,2019_2,False
6,agurk,1 stk,2019,2,EXTRA,22.9,2019_2,False
10,champignon,1 kg,2019,2,KIWI,28.9,2019_2,False
10,champignon,1 kg,2019,2,MENY,31.8,2019_2,False
10,champignon,1 kg,2019,2,OBS,29.8,2019_2,False
10,champignon,1 kg,2019,2,REMA,28.9,2019_2,False
10,champignon,1 kg,2019,2,SPAR,31.9,2019_2,False
10,champignon,1 kg,2019,2,EXTRA,28.9,2019_2,False
7,isbergsalat,1 stk,2019,2,KIWI,19.9,2019_2,False
7,isbergsalat,1 stk,2019,2,MENY,21.9,2019_2,False
7,isbergsalat,1 stk,2019,2,OBS,22.9,2019_2,False
7,isbergsalat,1 stk,2019,2,REMA,19.9,2019_2,False
7,isbergsalat,1 stk,2019,2,SPAR,21.9,2019_2,False
7,isbergsalat,1 stk,2019,2,EXTRA,19.9,2019_2,False
9,blomkål,1 stk,2019,2,KIWI,17.9,2019_2,False
9,blomkål,1 stk,2019,2,MENY,19.9,2019_2,False
9,blomkål,1 stk,2019,2,OBS,20.5,2019_2,False
9,blomkål,1 stk,2019,2,REMA,17.9,2019_2,False
9,blomkål,1 stk,2019,2,SPAR,18.9,2019_2,False
9,blomkål,1 stk,2019,2,EXTRA,19.9,2019_2,False
507,kremost pepper,125 gram,2019,2,KIWI,15.9,2019_2,False
507,kremost pepper,125 gram,2019,2,MENY,16.9,2019_2,False
507,kremost pepper,125 gram,2019,2,OBS,17.5,2019_2,False
507,kremost pepper,125 gram,2019,2,REMA,15.9,2019_2,False
507,kremost pepper,125 gram,2019,2,SPAR,17.9,2019_2,False
507,kremost pepper,125 gram,2019,2,EXTRA,16.9,2019_2,False
508,kremost naturell,125 gram,2019,2,KIWI,16.9,2019_2,False
508,kremost naturell,125 gram,2019,2,MENY,17.9,2019_2,False
508,kremost naturell,125 gram,2019,2,OBS,17.5,2019_2,False
508,kremost naturell,125 gram,2019,2,REMA,16.9,2019_2,False
508,kremost naturell,125 gram,2019,2,SPAR,18.5,2019_2,False
508,kremost naturell,125 gram,2019,2,EXTRA,16.9,2019_2,False
19,norvegia,1 kg,2019,2,KIWI,98.9,2019_2,False
19,norvegia,1 kg,2019,2,MENY,105.0,2019_2,False
19,norvegia,1 kg,2019,2,OBS,100.6,2019_2,False
19,norvegia,1 kg,2019,2,REMA,98.9,2019_2,False
19,norvegia,1 kg,2019,2,SPAR,105.0,2019_2,False
19,norvegia,1 kg,2019,2,EXTRA,98.9,2019_2,False
94,smøreost bacon tube,175 gr,2019,2,KIWI,25.9,2019_2,False
94,smøreost bacon tube,175 gr,2019,2,MENY,25.9,2019_2,False
94,smøreost bacon tube,175 gr,2019,2,OBS,25.9,2019_2,False
