,product_id,product_name,product_type,price_KIWI,price_MENY,price_OBS,price_REMA 1000,price_SPAR,price_EXTRA,year,week
7,29,Helmelk Tine,1 liter,18.0,18.9,18.0,18.0,19.4,18.0,2019,5
8,30,Skummet melk Tine,1 liter,14.9,15.9,14.9,14.9,16.1,14.9,2019,5
9,201,Tine Yoghurt Melon/pasjonsfrukt 4pk,4x150gr,15.0,19.5,14.9,15.0,18.9,15.0,2019,5
10,98,Go Morgen Skogsbær,195 gr,12.9,14.3,12.9,12.9,13.9,12.9,2019,5
11,184,Soft Flora steke & bake,500 gr,28.5,32.7,29.6,28.5,31.5,28.5,2019,5
12,213,Fiskekaker,Billigste type 500 gr,16.47,16.5,19.0,16.54,16.79,16.47,2019,5
13,205,Egg billigste type,12 stk,27.9,26.6,24.06,27.9,27.9,33.07,2019,5
14,39,Big One Classic Pizza,560 gr,54.9,61.2,34.2,54.9,35.34,54.9,2019,5
15,44,Laks,4 pakning pris per 500 gr,48.6,48.6,55.9,48.6,48.9,48.6,2019,5
16,324,Familiens Fiskegrateng,1 kilo,60.7,73.4,69.8,60.7,69.9,60.7,2019,5
17,43,Fiskepinner Findus,750 gram,39.8,52.4,49.8,39.9,49.9,39.9,2019,5
18,524,Makrell i tomat 6 pk,6 stk,34.4,39.3,34.9,34.4,19.9,34.4,2019,5
19,84,Bringebærsyltetøy Nora,400 gr hjemmelaget,25.9,27.9,26.7,25.9,27.9,25.9,2019,5
20,519,"Bog, Gilde",325 gr,24.9,27.3,24.9,24.9,26.9,24.9,2019,5
21,480,Surkål Nora,450 gram,9.9,10.9,9.9,9.9,10.9,9.9,2019,5
22,111,Tomatsuppe Original,91 gr,16.2,14.9,16.4,16.3,17.9,16.4,2019,5
23,166,Tomatsuppe m/makaroni,119 gr,18.6,16.9,18.8,18.7,20.5,18.8,2019,5
24,234,Bakepulver Freia,250 gram,27.9,31.6,29.0,27.9,29.9,27.9,2019,5
25,537,"Sukkerkulør, Toro",90 gram,17.4,19.1,17.4,17.4,18.9,17.4,2019,5
26,518,Maizena maisstivelse,400 gr,26.9,28.9,27.8,26.9,28.9,26.9,2019,5
27,89,Bernaisesaus Toro,4 pakning,27.9,31.0,28.4,27.9,29.9,27.9,2019,5
28,183,Sopps snarkokt makaroni,650gr,18.4,20.3,18.4,18.4,19.9,18.4,2019,5
29,169,Mr.Lee Nudler m/kjøtt kopp,65 gr,20.9,23.2,21.7,20.9,22.5,20.9,2019,5
30,180,Mr Lee Nudler Kylling kopp,kopp,21.4,23.9,23.9,21.4,22.9,21.4,2019,5
31,101,Dolmio Classico,500 gr,20.4,22.8,20.8,20.4,21.9,20.4,2019,5
32,95,Hamburgerdressing Idun,470 gr flaske,19.2,22.4,19.9,19.2,21.5,19.9,2019,5
33,465,Polarbrød Havre,16 pk,26.6,29.3,28.2,26.6,28.9,26.6,2019,5
34,401,"Karamellsaus, Freia",360 gram,24.9,28.5,24.9,24.9,26.9,24.9,2019,5
35,536,Quaker Cruesli Solfrokost,500 gram,32.9,37.0,33.9,32.9,34.9,32.9,2019,5
36,114,Kaptein kjeks,200 gr,14.8,23.2,21.4,14.8,22.9,21.4,2019,5
37,327,Fanta Appelsin,"1,5 liter",34.9,37.1,34.9,36.0,35.9,34.9,2019,5
38,70,Cheez Doodles,120 gr,18.9,20.5,18.9,18.9,20.5,18.9,2019,5
39,167,"Maarud Tortilla, ost",185 gram,17.9,22.2,17.9,17.9,22.9,17.9,2019,5
40,496,WC Duck Blått,1 stk,14.9,16.5,14.9,14.9,15.9,14.9,2019,5
41,339,Fisherman`s Friend Salmia,25 gr,19.0,21.1,19.0,19.0,20.5,19.0,2019,5
42,138,Smil Sjokolade,78 gram,15.3,17.6,15.3,15.3,16.5,15.3,2019,5
0,6,Agurk,1 stk,15.9,17.9,16.4,15.9,16.9,15.9,2019,6
1,10,Champignon,1 kg,28.9,31.9,29.8,28.9,31.9,28.9,2019,6
2,8,Brokkoli,1 stk,9.9,14.9,9.9,9.9,10.9,12.9,2019,6
3,9,Blomkål,1 stk,17.9,19.9,16.9,17.9,18.9,17.9,2019,6
4,20,Gulost Synnøve,1 kg,89.9,91.0,94.9,89.9,91.9,89.9,2019,6
5,563,Fjordland Kylling Sweet & sour,460 gr,54.9,59.0,57.9,57.9,57.9,54.9,2019,6
6,143,Fjordland risgrøt,970 gr,29.2,34.4,29.9,29.2,31.9,29.3,2019,6
7,32,Lettrømme Tine,3 dl,15.9,16.2,15.9,15.9,16.5,15.2,2019,6
8,28,Lettmelk Tine,1 liter,17.4,18.5,17.4,17.4,18.7,17.4,2019,6
9,185,Tine Yoghurt Jordbær 4pk,4x150gr,18.9,18.4,21.9,18.9,19.9,15.6,2019,6
10,165,Rislunsj m/jordbær,150 gr,9.9,12.2,12.0,12.0,11.9,10.2,2019,6
11,35,Tine Meierismør,1/2 kilo,34.8,40.1,35.9,34.8,39.9,34.9,2019,6
12,17,Mills Majones,330 gr (2 poser),28.9,28.9,28.9,28.9,29.9,28.9,2019,6
13,41,Grandiosa Original,575 gr,44.9,47.0,44.0,44.9,47.9,44.0,2019,6
14,150,Grandiosa Hj.laget m/kjøttdeig 1 kg,med kjøttdeig,94.9,101.0,94.5,94.9,99.9,90.4,2019,6
15,133,Tyttebærsyltetøy Nora Hj.laget,400 gr,45.9,48.6,46.8,45.9,46.9,45.4,2019,6
